dag_id,data,mse_factor,name,stage_id
4c6e57fa-f7f9-11e9-a61f-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0


dag_id,data,mse_factor,name,stage_id
373b0c70-f7fe-11e9-a61f-340286a22b19,{'c26': {'size': 40}},0,graph,0
373b0c70-f7fe-11e9-a61f-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
9bc0f09c-f80d-11e9-a620-340286a22b19,{'c26': {'size': 40}},0,graph,0
9bc0f09c-f80d-11e9-a620-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0

dag_id,data,mse_factor,name,stage_id
dbccf954-f80f-11e9-a620-340286a22b19,{'c26': {'size': 40}},0,graph,0
dbccf954-f80f-11e9-a620-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
4fa4454e-f810-11e9-a620-340286a22b19,{'c26': {'size': 40}},0,graph,0
